return_id,order_id,customer_id,return_date,return_reason,refund_amount
R00204,O002953,10799,2024-11-28,Quality Issue,14967.33
R00205,O002954,11964,2025-09-27,Changed Mind,6615.3
R00206,O002957,10769,2024-01-11,Damaged,29983.86
R00207,O002971,10344,2024-12-19,Late Delivery,12398.53
R00208,O002986,11899,2024-05-05,Changed Mind,13328.49
R00209,O003009,10247,2024-08-07,Late Delivery,6732.12
R00210,O003018,12479,2025-06-04,Damaged,23915.47
R00211,O003021,12358,2025-03-31,Damaged,14062.14
R00212,O003041,11570,2025-07-16,Damaged,19522.99
R00213,O003055,10001,2024-03-05,Changed Mind,5391.03
R00214,O003086,10078,2025-02-21,Late Delivery,4053.78
R00215,O003106,10882,2025-07-07,Damaged,16912.13
R00216,O003116,12251,2024-08-19,Changed Mind,5503.89
R00217,O003139,10101,2024-02-16,Quality Issue,15554.23
R00218,O003179,10081,2024-02-06,Quality Issue,29976.35
R00219,O003241,11710,2025-07-04,Changed Mind,13364.44
R00220,O003248,10339,2024-03-09,Quality Issue,943.89
R00221,O003252,10780,2024-03-01,Quality Issue,19102.18
R00222,O003271,10006,2025-03-11,Damaged,7915.11
R00223,O003272,10523,2024-09-08,Late Delivery,28232.67
R00224,O003291,10831,2025-10-02,Changed Mind,7166.24
R00225,O003326,11476,2024-05-31,Damaged,27993.15
R00226,O003371,11137,2024-12-28,Wrong Item,744.61
R00227,O003382,10778,2024-03-31,Late Delivery,29355.81
R00228,O003383,11107,2024-12-23,Wrong Item,8348.61
R00229,O003401,12028,2026-01-06,Damaged,23492.65
R00230,O003441,10651,2024-04-21,Late Delivery,14096.32
R00231,O003443,10867,2025-11-02,Late Delivery,11240.14
R00232,O003480,10347,2024-07-15,Damaged,28748.35
R00233,O003502,11370,2024-01-30,Late Delivery,28266.57
R00234,O003541,11508,2024-11-07,Changed Mind,18199.43
R00235,O003543,10798,2024-08-30,Changed Mind,28190.45
R00236,O003560,11562,2025-06-04,Damaged,23701.55
R00237,O003565,10475,2024-06-12,Late Delivery,11027.47
R00238,O003573,11782,2025-04-15,Damaged,26900.8
R00239,O003584,11409,2024-02-23,Late Delivery,10890.12
R00240,O003617,10909,2025-10-09,Late Delivery,28396.11
R00241,O003641,11528,2025-08-15,Late Delivery,15574.6
R00242,O003653,10027,2025-05-24,Late Delivery,22214.62
R00243,O003665,11652,2025-09-24,Changed Mind,19183.09
R00244,O003667,11779,2025-09-16,Late Delivery,22060.07
R00245,O003670,11280,2025-12-27,Late Delivery,5580.32
R00246,O003697,10384,2024-08-11,Late Delivery,26699.1
R00247,O003699,12324,2025-01-09,Quality Issue,24706.31
R00248,O003705,10345,2024-06-15,Changed Mind,19002.44
R00249,O003706,11784,2024-11-15,Changed Mind,6513.17
R00250,O003719,11183,2024-05-17,Damaged,17275.85
R00251,O003721,10228,2025-11-02,Changed Mind,13195.18
R00252,O003731,11536,2025-05-05,Quality Issue,736.15
R00253,O003734,11163,2024-09-11,Changed Mind,27710.52
R00254,O003785,11884,2024-05-01,Quality Issue,23121.17
R00255,O003787,10756,2025-11-15,Changed Mind,26949.11
R00256,O003807,10100,2025-12-11,Quality Issue,18173.21
R00257,O003828,11215,2024-03-04,Changed Mind,10104.54
R00258,O003829,10471,2025-04-25,Damaged,13299.9
R00259,O003867,12234,2024-09-23,Damaged,24912.38
R00260,O003897,11552,2025-07-03,Quality Issue,6141.48
R00261,O003929,12066,2025-09-08,Late Delivery,4714.14
R00262,O003937,10033,2025-05-20,Changed Mind,3192.98
R00263,O003956,10408,2025-08-04,Changed Mind,3163.81
R00264,O003957,10064,2025-10-30,Damaged,14700.77
R00265,O003963,10898,2024-07-09,Damaged,22139.75
R00266,O003976,10861,2024-07-09,Quality Issue,26733.82
R00267,O003977,12004,2025-07-30,Wrong Item,17123.57
R00268,O003981,12394,2024-02-02,Late Delivery,14987.23
R00269,O004005,10590,2025-01-21,Quality Issue,11738.73
R00270,O004007,11392,2025-12-21,Late Delivery,9160.06
R00271,O004009,11910,2025-06-19,Quality Issue,1199.31
R00272,O004020,12132,2025-10-02,Changed Mind,21980.23
R00273,O004021,11548,2024-07-05,Quality Issue,2310.31
R00274,O004082,12355,2024-06-12,Late Delivery,22790.89
R00275,O004087,10007,2024-10-02,Wrong Item,21469.98
R00276,O004100,10364,2025-11-07,Changed Mind,29627.2
R00277,O004102,11277,2025-09-21,Late Delivery,795.38
R00278,O004127,10630,2025-02-02,Wrong Item,7436.94
R00279,O004137,12393,2024-07-16,Changed Mind,2651.88
R00280,O004145,10004,2024-04-09,Damaged,27999.58
R00281,O004150,11161,2025-10-01,Late Delivery,15516.78
R00282,O004154,11955,2025-11-07,Changed Mind,28679.57
R00283,O004163,10342,2024-02-10,Wrong Item,4829.47
R00284,O004168,10357,2025-03-26,Changed Mind,10033.39
R00285,O004209,10551,2025-09-17,Damaged,19239.27
R00286,O004223,10105,2025-01-09,Changed Mind,8407.34
R00287,O004241,11504,2025-07-28,Damaged,27670.94
R00288,O004242,10004,2024-09-11,Late Delivery,13275.91
R00289,O004245,10027,2026-01-10,Changed Mind,18491.2
R00290,O004282,11239,2025-06-01,Quality Issue,10659.47
R00291,O004288,11974,2024-02-03,Wrong Item,6423.7
R00292,O004304,10406,2024-05-30,Quality Issue,23985.74
R00293,O004324,11224,2025-06-20,Quality Issue,23829.27
R00294,O004326,10489,2024-06-27,Changed Mind,24499.19
R00295,O004330,11247,2024-11-10,Wrong Item,10037.16
R00296,O004334,10073,2024-02-17,Late Delivery,25656.53
R00297,O004349,11626,2024-11-02,Wrong Item,9707.16
R00298,O004355,11720,2024-08-09,Damaged,10962.0
R00299,O004382,10121,2025-12-22,Changed Mind,9123.2
R00300,O004405,10141,2025-12-08,Quality Issue,13034.2
R00301,O004438,11007,2024-02-22,Late Delivery,991.27
R00302,O004449,11711,2024-03-15,Changed Mind,7668.84
R00303,O004455,12473,2025-10-07,Late Delivery,7806.76
R00304,O004457,11409,2026-01-19,Late Delivery,25589.15
R00305,O004503,10096,2025-06-25,Damaged,20885.7
R00306,O004505,11284,2024-12-04,Wrong Item,8030.77
R00307,O004506,10248,2024-12-15,Changed Mind,11007.18
R00308,O004522,12139,2024-10-03,Late Delivery,28887.24
R00309,O004547,10459,2024-01-21,Wrong Item,17981.59
R00310,O004569,11472,2025-03-25,Quality Issue,21040.23
R00311,O004576,11879,2024-02-03,Damaged,29136.56
R00312,O004586,12092,2024-07-05,Damaged,19855.39
R00313,O004594,11401,2025-03-03,Wrong Item,12118.71
R00314,O004606,11322,2025-05-23,Quality Issue,11613.76
R00315,O004608,10056,2025-05-05,Wrong Item,3538.56
R00316,O004610,12422,2025-04-11,Damaged,3208.91
R00317,O004625,10773,2024-12-11,Late Delivery,11460.8
R00318,O004627,10573,2024-02-06,Quality Issue,12693.73
R00319,O004643,11142,2024-05-04,Late Delivery,19776.65
R00320,O004655,11575,2025-12-25,Late Delivery,13930.44
R00321,O004668,11125,2025-09-04,Changed Mind,21853.12
R00322,O004706,10105,2024-09-11,Late Delivery,3188.84
R00323,O004712,11416,2024-06-19,Damaged,9609.89
R00324,O004715,11236,2024-01-23,Damaged,27130.96
R00325,O004736,11809,2025-06-09,Quality Issue,1505.39
R00326,O004739,12441,2025-08-24,Changed Mind,19793.27
R00327,O004745,10035,2025-11-19,Wrong Item,16713.02
R00328,O004814,11980,2025-05-29,Late Delivery,1998.92
R00329,O004817,11427,2024-04-06,Late Delivery,4123.2
R00330,O004818,12045,2025-02-08,Changed Mind,8755.48
R00331,O004833,10216,2024-02-15,Quality Issue,3240.83
R00332,O004849,12242,2025-04-21,Quality Issue,11222.15
R00333,O004869,11928,2025-10-01,Changed Mind,20174.77
R00334,O004881,11095,2024-11-07,Damaged,22051.41
R00335,O004893,12445,2024-05-16,Quality Issue,11133.84
R00336,O004895,10215,2025-06-27,Quality Issue,26490.65
R00337,O004901,10752,2025-09-12,Late Delivery,26260.32
R00338,O004917,11696,2024-03-08,Damaged,4474.87
R00339,O004929,12476,2025-03-05,Damaged,20280.44
R00340,O004957,10454,2024-03-30,Changed Mind,8170.95
R00341,O004963,10122,2024-01-10,Quality Issue,17896.17
R00342,O004973,11493,2025-05-02,Changed Mind,11406.91
R00343,O004974,11249,2024-07-16,Late Delivery,17136.98
R00344,O004987,12131,2024-09-18,Wrong Item,18914.62
R00345,O005000,12403,2024-07-08,Changed Mind,4696.51
R00346,O005019,10906,2025-01-25,Damaged,15183.91
R00347,O005027,10585,2024-06-16,Changed Mind,5095.55
R00348,O005032,10910,2024-12-04,Changed Mind,5577.73
R00349,O005050,12399,2024-11-06,Damaged,22399.75
R00350,O005074,10673,2025-11-25,Quality Issue,27431.3
R00351,O005077,10602,2024-11-01,Late Delivery,13349.44
R00352,O005091,12426,2025-12-15,Quality Issue,22737.92
R00353,O005108,10079,2024-10-02,Damaged,17356.27
R00354,O005114,10669,2025-12-04,Damaged,26329.34
R00355,O005123,11173,2024-09-08,Damaged,27935.97
R00356,O005125,11603,2024-02-27,Late Delivery,25114.87
R00357,O005140,12205,2025-01-04,Quality Issue,27712.78
R00358,O005155,10964,2024-02-07,Quality Issue,7646.09
R00359,O005157,12409,2025-07-10,Quality Issue,8817.25
R00360,O005158,10765,2024-08-20,Damaged,17684.7
R00361,O005188,11357,2025-01-21,Wrong Item,24055.09
R00362,O005214,12354,2024-11-03,Changed Mind,2736.36
R00363,O005234,10661,2025-03-15,Changed Mind,9763.8
R00364,O005236,10126,2024-09-20,Damaged,9885.56
R00365,O005250,11823,2025-09-05,Damaged,26087.96
R00366,O005256,12047,2024-03-31,Damaged,22401.2
R00367,O005259,12171,2026-01-15,Wrong Item,19590.92
R00368,O005260,11318,2024-03-15,Late Delivery,5753.25
R00369,O005270,11461,2026-01-19,Late Delivery,15815.27
R00370,O005275,11288,2025-06-09,Damaged,474.7
R00371,O005278,11468,2025-07-26,Damaged,6378.25
R00372,O005284,12140,2024-05-03,Wrong Item,24098.43
R00373,O005292,11509,2024-05-28,Wrong Item,19719.85
R00374,O005319,10623,2025-03-25,Changed Mind,16504.92
R00375,O005331,10338,2025-12-31,Wrong Item,25329.07
R00376,O005334,10913,2024-08-16,Damaged,13365.56
R00377,O005339,12472,2025-12-23,Late Delivery,8547.88
R00378,O005361,12454,2025-02-13,Quality Issue,25191.8
R00379,O005378,11924,2025-09-30,Wrong Item,9227.46
R00380,O005388,11273,2024-04-18,Quality Issue,25704.66
R00381,O005401,10972,2024-07-24,Damaged,19963.24
R00382,O005404,10957,2025-10-29,Changed Mind,19016.74
R00383,O005406,10730,2025-08-07,Damaged,2576.37
R00384,O005455,11098,2025-01-02,Wrong Item,14426.8
R00385,O005493,11196,2025-04-25,Changed Mind,11326.06
R00386,O005500,11650,2025-11-18,Changed Mind,27829.62
R00387,O005506,11419,2025-10-18,Late Delivery,571.44
R00388,O005555,10086,2025-06-11,Damaged,18169.96
R00389,O005565,11833,2024-01-22,Damaged,12480.9
R00390,O005568,10319,2025-10-09,Quality Issue,24185.11
R00391,O005573,11173,2025-10-17,Late Delivery,25061.74
R00392,O005616,11430,2025-12-12,Quality Issue,14031.85
R00393,O005626,10304,2025-12-12,Wrong Item,4959.51
R00394,O005629,10922,2024-12-17,Quality Issue,6292.23
R00395,O005635,10940,2024-06-13,Quality Issue,21773.71
R00396,O005638,11002,2024-06-03,Changed Mind,24725.84
R00397,O005639,12213,2025-03-01,Quality Issue,11124.05
R00398,O005651,11261,2024-10-30,Changed Mind,11114.44
R00399,O005660,10694,2024-02-07,Wrong Item,5202.97
R00400,O005670,10976,2024-11-01,Quality Issue,19790.57
R00401,O005679,10094,2024-08-31,Late Delivery,3784.7
R00402,O005680,10576,2025-05-18,Wrong Item,21158.53
R00403,O005694,11515,2025-01-06,Changed Mind,18024.05
R00404,O005696,10882,2024-07-06,Late Delivery,24355.85
R00405,O005705,11740,2024-09-07,Wrong Item,18036.06
R00406,O005707,10509,2024-01-29,Damaged,6377.75
R00407,O005720,10811,2024-11-15,Damaged,17441.54
R00408,O005721,11201,2024-11-07,Wrong Item,27165.94
R00409,O005745,10767,2024-09-16,Wrong Item,23812.66
R00410,O005761,12315,2024-04-15,Quality Issue,5302.41
R00411,O005776,10835,2024-10-19,Quality Issue,2982.02
R00412,O005777,10089,2025-11-21,Wrong Item,28777.94
R00413,O005802,10205,2025-05-29,Late Delivery,22429.34
R00414,O005807,12390,2025-12-21,Changed Mind,24855.7
R00415,O005817,11346,2024-07-13,Wrong Item,27028.84
R00416,O005839,10323,2024-03-28,Damaged,14114.47
R00417,O005849,11335,2025-01-29,Quality Issue,26247.41
R00418,O005853,12399,2025-01-17,Quality Issue,4092.72
R00419,O005866,10876,2024-09-17,Damaged,10300.08
R00420,O005888,11649,2024-01-21,Late Delivery,10375.38
R00421,O005912,10447,2024-12-08,Wrong Item,1265.72
R00422,O005925,10395,2024-08-07,Late Delivery,5781.08
R00423,O005939,12250,2025-09-13,Late Delivery,21914.65
R00424,O005940,10980,2024-05-04,Wrong Item,13986.93
R00425,O005959,11045,2025-02-11,Late Delivery,17980.77
R00426,O005960,10590,2025-10-06,Damaged,18535.68
R00427,O005963,12409,2025-04-22,Wrong Item,6484.01
R00428,O005967,11075,2024-05-07,Quality Issue,27810.07
R00429,O005973,11995,2025-02-23,Wrong Item,4368.72
R00430,O005976,11887,2025-04-22,Quality Issue,295.36
R00431,O005982,10737,2024-08-30,Changed Mind,8055.36
R00432,O006002,12220,2025-10-06,Wrong Item,15298.11
R00433,O006025,12274,2025-07-07,Quality Issue,5201.01
R00434,O006040,11486,2025-07-24,Late Delivery,23247.13
R00435,O006053,10109,2024-07-19,Changed Mind,6450.77
R00436,O006055,10938,2024-03-18,Wrong Item,28640.36
R00437,O006062,10027,2025-06-06,Quality Issue,21351.8
R00438,O006075,10618,2025-08-27,Late Delivery,25691.24
R00439,O006078,10961,2024-11-19,Quality Issue,16536.95
R00440,O006107,11981,2024-08-22,Wrong Item,16691.31
R00441,O006117,11687,2025-05-26,Damaged,29248.62
R00442,O006142,10143,2024-04-07,Damaged,3690.34
R00443,O006146,11489,2024-12-08,Wrong Item,17509.53
R00444,O006148,11488,2024-05-17,Late Delivery,2228.55
R00445,O006150,11418,2025-12-29,Changed Mind,29708.12
R00446,O006158,11012,2025-03-09,Quality Issue,18996.7
R00447,O006167,10357,2024-11-26,Late Delivery,2668.96
R00448,O006195,10268,2025-09-18,Quality Issue,8724.03
R00449,O006208,11060,2025-06-19,Damaged,26752.89
R00450,O006209,11814,2025-10-19,Changed Mind,2628.98
R00451,O006241,11708,2025-02-28,Wrong Item,8369.36
R00452,O006243,11061,2025-04-10,Wrong Item,15247.19
R00453,O006248,10459,2025-02-28,Damaged,29480.75
R00454,O006249,11702,2025-11-03,Wrong Item,6407.28
R00455,O006251,12457,2025-07-12,Changed Mind,23812.61
R00456,O006279,12130,2024-02-20,Changed Mind,10417.28
R00457,O006302,12200,2024-10-07,Wrong Item,476.04
R00458,O006307,11997,2025-02-11,Late Delivery,23508.81
R00459,O006310,10047,2024-05-26,Wrong Item,14797.53
R00460,O006317,11539,2025-12-21,Changed Mind,14501.31
R00461,O006323,11219,2025-10-23,Damaged,20275.03
R00462,O006335,10059,2024-11-22,Wrong Item,19587.31
R00463,O006348,11927,2024-10-20,Late Delivery,19756.95
R00464,O006359,11587,2024-11-14,Wrong Item,9903.66
R00465,O006362,10585,2024-05-24,Quality Issue,17498.2
R00466,O006391,11542,2025-10-01,Wrong Item,26355.18
R00467,O006425,10351,2026-01-28,Changed Mind,26814.28
R00468,O006428,10245,2024-02-27,Wrong Item,12263.93
R00469,O006433,12274,2025-07-13,Wrong Item,7149.05
R00470,O006457,11061,2025-02-21,Damaged,2434.25
R00471,O006467,10288,2024-07-25,Quality Issue,25761.17
