order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state
O000192,10528,2025-04-12,Delivered,Debit Card,Mumbai,Punjab
O000193,10965,2024-07-20,Shipped,Debit Card,Hyderabad,Kerala
O000194,10671,2024-06-03,Shipped,COD,Lucknow,Gujarat
O000195,12400,2024-01-13,Delivered,Net Banking,Kolkata,West Bengal
O000196,12257,2024-10-23,Delivered,COD,Jaipur,Uttar Pradesh
O000197,10958,2025-05-12,Delivered,Debit Card,Gurugram,Delhi
O000198,12253,2025-08-19,Delivered,Debit Card,Chennai,Tamil Nadu
O000199,11714,2024-09-01,Delivered,UPI,Jaipur,Tamil Nadu
O000200,10721,2024-10-26,Shipped,COD,Ahmedabad,Maharashtra
O000201,10636,2024-12-27,Delivered,UPI,Mumbai,Rajasthan
O000202,11039,2024-12-19,Shipped,UPI,Hyderabad,Uttar Pradesh
O000203,12346,2025-06-04,Delivered,Credit Card,Delhi,Delhi
O000204,10557,2025-01-20,Delivered,UPI,Gurugram,Gujarat
O000205,11118,2024-11-07,Delivered,Debit Card,Lucknow,West Bengal
O000206,12155,2025-02-17,Delivered,Debit Card,Mumbai,Gujarat
O000207,10128,2024-10-04,Delivered,Credit Card,Gurugram,Punjab
O000208,11994,2025-12-15,Delivered,Credit Card,Bengaluru,Gujarat
O000209,10038,2025-08-15,Returned,COD,Gurugram,Gujarat
O000210,11633,2024-12-21,Shipped,Credit Card,Delhi,Punjab
O000211,10198,2025-06-08,Cancelled,Net Banking,Jaipur,Uttar Pradesh
O000212,12405,2024-01-16,Delivered,Debit Card,Gurugram,Maharashtra
O000213,12055,2024-02-14,Delivered,Debit Card,Chennai,Rajasthan
O000214,10519,2024-11-16,Delivered,Credit Card,Ahmedabad,Punjab
O000215,12242,2025-10-12,Delivered,Credit Card,Chennai,Karnataka
O000216,12364,2024-11-21,Delivered,Debit Card,Jaipur,Gujarat
O000217,11025,2024-05-27,Delivered,Credit Card,Ludhiana,Uttar Pradesh
O000218,11086,2024-12-20,Delivered,COD,Kolkata,Rajasthan
O000219,12391,2024-08-23,Cancelled,Credit Card,Bengaluru,Telangana
O000220,11042,2025-12-03,Returned,Credit Card,Lucknow,Punjab
O000221,10620,2025-09-04,Delivered,COD,Kolkata,Kerala
O000222,11395,2024-04-14,Cancelled,COD,Delhi,Kerala
O000223,11595,2025-04-18,Delivered,COD,Bengaluru,Haryana
O000224,11723,2025-01-30,Delivered,Debit Card,Hyderabad,Karnataka
O000225,10235,2025-03-21,Shipped,Credit Card,Kochi,Tamil Nadu
O000226,10447,2025-08-28,Delivered,COD,Hyderabad,Punjab
O000227,10610,2024-08-07,Cancelled,COD,Lucknow,Rajasthan
O000228,10008,2025-03-17,Delivered,Debit Card,Delhi,Telangana
O000229,10462,2025-10-06,Cancelled,Net Banking,Ludhiana,Karnataka
O000230,11000,2025-10-28,Returned,Credit Card,Bengaluru,Gujarat
O000231,11335,2024-01-28,Delivered,Net Banking,Lucknow,West Bengal
O000232,10134,2025-04-19,Delivered,Net Banking,Chennai,Tamil Nadu
O000233,12433,2025-09-19,Delivered,COD,Chennai,Haryana
O000234,10056,2024-10-31,Delivered,Debit Card,Ludhiana,Kerala
O000235,10993,2025-02-08,Delivered,Credit Card,Bengaluru,Delhi
O000236,11384,2025-05-27,Shipped,Credit Card,Gurugram,Haryana
O000237,11995,2025-05-16,Delivered,Credit Card,Kolkata,West Bengal
O000238,11112,2024-12-13,Returned,Net Banking,Hyderabad,Tamil Nadu
O000239,12186,2024-08-27,Delivered,UPI,Gurugram,Kerala
O000240,11524,2025-07-23,Delivered,Debit Card,Lucknow,Maharashtra
O000241,10144,2025-11-25,Delivered,UPI,Kolkata,Gujarat
O000242,12104,2024-12-02,Delivered,Net Banking,Gurugram,Delhi
O000243,10620,2024-01-26,Delivered,COD,Mumbai,Karnataka
O000244,11887,2025-02-12,Delivered,UPI,Bengaluru,Telangana
O000245,11030,2024-03-17,Delivered,UPI,Delhi,Delhi
O000246,12495,2024-08-04,Delivered,Debit Card,Chennai,Gujarat
O000247,12021,2024-11-23,Delivered,Net Banking,Mumbai,West Bengal
O000248,11409,2024-01-23,Shipped,Debit Card,Lucknow,Telangana
O000249,10639,2025-10-31,Shipped,COD,Kolkata,Uttar Pradesh
O000250,11657,2025-12-18,Delivered,Credit Card,Bengaluru,Punjab
O000251,10837,2024-11-05,Delivered,Net Banking,Kolkata,Karnataka
O000252,11586,2025-08-21,Delivered,COD,Kolkata,Telangana
O000253,10780,2024-09-23,Returned,COD,Delhi,Kerala
O000254,10837,2025-02-18,Delivered,UPI,Jaipur,Maharashtra
O000255,10265,2025-10-07,Delivered,Debit Card,Ludhiana,Kerala
O000256,11217,2024-09-23,Delivered,UPI,Delhi,Maharashtra
O000257,11398,2024-11-28,Delivered,UPI,Gurugram,Karnataka
O000258,12058,2025-03-25,Delivered,Credit Card,Kochi,Maharashtra
O000259,10302,2025-07-18,Delivered,Debit Card,Jaipur,Delhi
O000260,11978,2025-09-02,Delivered,Credit Card,Kochi,Gujarat
O000261,10805,2024-09-03,Delivered,COD,Mumbai,Delhi
O000262,11076,2024-02-05,Delivered,Credit Card,Kolkata,Rajasthan
O000263,11776,2025-02-04,Delivered,COD,Bengaluru,Punjab
O000264,10099,2024-01-28,Cancelled,UPI,Hyderabad,Delhi
O000265,11414,2024-08-07,Delivered,Credit Card,Lucknow,Tamil Nadu
O000266,11978,2025-02-09,Returned,Debit Card,Delhi,Delhi
O000267,10357,2025-09-05,Delivered,Credit Card,Jaipur,Telangana
O000268,11664,2024-09-27,Delivered,COD,Jaipur,Delhi
O000269,10011,2025-10-12,Delivered,Net Banking,Jaipur,Punjab
O000270,10081,2025-05-25,Delivered,Debit Card,Gurugram,Delhi
O000271,12054,2024-10-12,Delivered,COD,Delhi,Delhi
O000272,12421,2025-03-29,Delivered,Net Banking,Ahmedabad,Gujarat
O000273,10222,2024-11-12,Shipped,Debit Card,Kolkata,Uttar Pradesh
O000274,11941,2025-08-12,Shipped,Net Banking,Kolkata,Gujarat
O000275,11947,2024-10-23,Delivered,UPI,Mumbai,Telangana
O000276,10515,2024-12-03,Shipped,UPI,Hyderabad,Tamil Nadu
O000277,10221,2024-11-02,Delivered,Credit Card,Hyderabad,Rajasthan
O000278,12397,2025-03-03,Delivered,Credit Card,Lucknow,Telangana
O000279,10228,2024-12-16,Delivered,Credit Card,Kochi,Delhi
O000280,12338,2025-05-25,Delivered,Credit Card,Gurugram,West Bengal
O000281,10293,2025-06-08,Delivered,Net Banking,Ahmedabad,Kerala
O000282,10956,2025-05-06,Delivered,Debit Card,Ahmedabad,Delhi
O000283,11498,2025-08-16,Delivered,Debit Card,Kolkata,West Bengal
O000284,11281,2024-01-09,Delivered,Credit Card,Kolkata,Karnataka
O000285,11979,2025-05-11,Delivered,UPI,Ahmedabad,Rajasthan
O000286,11530,2025-12-25,Delivered,COD,Chennai,Punjab
O000287,10388,2025-07-13,Delivered,Credit Card,Chennai,Tamil Nadu
O000288,12414,2025-07-14,Delivered,Credit Card,Chennai,Uttar Pradesh
O000289,12338,2025-03-15,Cancelled,UPI,Ahmedabad,West Bengal
O000290,10189,2025-07-05,Delivered,COD,Hyderabad,Tamil Nadu
O000291,10918,2024-04-17,Delivered,Net Banking,Jaipur,Rajasthan
O000292,11202,2024-09-01,Delivered,Net Banking,Gurugram,Gujarat
O000293,10924,2024-09-11,Shipped,COD,Delhi,Telangana
O000294,12423,2024-02-02,Delivered,COD,Lucknow,Delhi
O000295,11622,2024-01-23,Delivered,Net Banking,Hyderabad,Gujarat
O000296,10760,2025-07-19,Delivered,Credit Card,Mumbai,Tamil Nadu
O000297,11478,2024-02-18,Returned,Credit Card,Ludhiana,Gujarat
O000298,12265,2025-04-06,Delivered,UPI,Bengaluru,Karnataka
O000299,11066,2025-08-12,Delivered,COD,Kolkata,Maharashtra
O000300,10194,2024-12-01,Delivered,Credit Card,Ahmedabad,Gujarat
O000301,11351,2024-12-23,Delivered,Credit Card,Kochi,Haryana
O000302,11397,2024-05-01,Delivered,UPI,Ludhiana,Rajasthan
O000303,11489,2025-03-19,Shipped,COD,Kolkata,Rajasthan
O000304,10163,2024-12-24,Delivered,UPI,Kochi,West Bengal
O000305,10276,2025-08-24,Delivered,UPI,Ludhiana,Karnataka
O000306,10364,2024-12-11,Delivered,Net Banking,Mumbai,Rajasthan
O000307,11666,2024-07-11,Delivered,UPI,Kochi,Maharashtra
O000308,12003,2025-02-19,Delivered,COD,Kolkata,Gujarat
O000309,10460,2025-01-11,Delivered,Credit Card,Chennai,Uttar Pradesh
O000310,12133,2025-04-07,Delivered,Credit Card,Ahmedabad,Kerala
O000311,11732,2025-10-22,Delivered,Net Banking,Mumbai,Gujarat
O000312,11340,2024-05-25,Delivered,COD,Lucknow,Punjab
O000313,12291,2025-04-22,Cancelled,Credit Card,Jaipur,Haryana
O000314,11366,2025-10-14,Delivered,UPI,Chennai,Tamil Nadu
O000315,10657,2025-02-11,Cancelled,Debit Card,Delhi,Uttar Pradesh
O000316,11107,2024-10-12,Delivered,Debit Card,Chennai,Delhi
O000317,11384,2024-04-20,Delivered,Debit Card,Jaipur,Punjab
O000318,12136,2025-09-11,Delivered,Debit Card,Jaipur,Haryana
O000319,10742,2024-02-19,Delivered,UPI,Mumbai,Gujarat
O000320,11996,2024-01-14,Delivered,Credit Card,Gurugram,West Bengal
O000321,11522,2024-05-13,Shipped,Net Banking,Lucknow,Punjab
O000322,12464,2025-08-10,Returned,UPI,Kochi,Tamil Nadu
O000323,11624,2025-08-18,Delivered,Credit Card,Kochi,Maharashtra
O000324,10682,2024-12-08,Cancelled,COD,Bengaluru,Telangana
O000325,11113,2025-10-31,Delivered,Credit Card,Bengaluru,Maharashtra
O000326,11725,2024-10-12,Returned,Credit Card,Bengaluru,Tamil Nadu
O000327,10899,2024-11-09,Delivered,Credit Card,Ahmedabad,Punjab
O000328,10601,2025-08-28,Shipped,UPI,Mumbai,Maharashtra
O000329,11868,2024-10-23,Delivered,Credit Card,Ludhiana,Haryana
O000330,11200,2025-08-28,Cancelled,Credit Card,Lucknow,Uttar Pradesh
O000331,10483,2025-07-22,Delivered,COD,Delhi,Rajasthan
O000332,12011,2024-06-12,Delivered,COD,Ludhiana,Karnataka
O000333,11143,2025-05-11,Delivered,Debit Card,Delhi,Kerala
O000334,10169,2025-09-01,Shipped,UPI,Ludhiana,West Bengal
O000335,12022,2024-01-16,Delivered,Credit Card,Mumbai,Telangana
O000336,12195,2024-12-09,Delivered,Debit Card,Chennai,Haryana
O000337,10439,2024-03-18,Delivered,Debit Card,Bengaluru,Delhi
O000338,10160,2024-12-11,Shipped,UPI,Bengaluru,Telangana
O000339,10814,2024-03-12,Delivered,Debit Card,Kolkata,Kerala
O000340,12450,2024-09-26,Delivered,Debit Card,Kochi,West Bengal
O000341,10586,2024-10-13,Cancelled,UPI,Mumbai,Karnataka
O000342,10864,2024-03-06,Delivered,Net Banking,Lucknow,Rajasthan
O000343,11042,2024-03-08,Delivered,Debit Card,Mumbai,Haryana
O000344,10140,2024-07-11,Delivered,COD,Chennai,Gujarat
O000345,11139,2024-02-24,Cancelled,Debit Card,Ahmedabad,Punjab
O000346,10328,2025-01-13,Delivered,UPI,Kolkata,Uttar Pradesh
O000347,10225,2024-06-16,Delivered,UPI,Chennai,Gujarat
O000348,10558,2025-02-12,Cancelled,Net Banking,Kochi,Punjab
O000349,12487,2025-05-22,Delivered,Net Banking,Lucknow,Gujarat
O000350,11574,2025-06-20,Shipped,COD,Chennai,Gujarat
O000351,11742,2025-10-04,Delivered,COD,Kolkata,Delhi
O000352,10386,2024-04-11,Delivered,Debit Card,Mumbai,Tamil Nadu
O000353,10521,2025-02-25,Delivered,Net Banking,Kochi,Punjab
O000354,11277,2025-04-22,Delivered,COD,Lucknow,Karnataka
O000355,11122,2024-04-29,Delivered,Debit Card,Ahmedabad,Haryana
O000356,11834,2024-10-17,Delivered,Credit Card,Kochi,Maharashtra
O000357,10447,2025-05-02,Returned,Debit Card,Hyderabad,Karnataka
O000358,11243,2024-06-09,Delivered,COD,Ludhiana,Tamil Nadu
O000359,10107,2025-11-03,Shipped,Debit Card,Hyderabad,Tamil Nadu
O000360,11500,2024-03-18,Delivered,Credit Card,Kolkata,Punjab
O000361,11478,2024-02-07,Delivered,COD,Kolkata,Telangana
O000362,10904,2025-01-28,Shipped,Debit Card,Bengaluru,West Bengal
O000363,11632,2025-03-16,Delivered,COD,Kochi,Gujarat
O000364,11150,2025-06-23,Cancelled,Debit Card,Kolkata,Haryana
O000365,11171,2025-04-06,Delivered,UPI,Mumbai,Delhi
O000366,12328,2025-09-03,Delivered,COD,Ludhiana,Karnataka
O000367,10024,2024-10-20,Delivered,COD,Ahmedabad,Gujarat
O000368,10952,2025-02-03,Delivered,COD,Bengaluru,Rajasthan
O000369,11745,2025-09-27,Delivered,COD,Ahmedabad,Kerala
O000370,12040,2024-04-01,Shipped,Debit Card,Ahmedabad,Telangana
O000371,10120,2025-08-31,Delivered,Net Banking,Ahmedabad,Karnataka
O000372,11676,2024-01-06,Delivered,Debit Card,Lucknow,West Bengal
O000373,11321,2025-11-11,Shipped,Credit Card,Jaipur,Gujarat
O000374,10855,2024-09-27,Shipped,UPI,Mumbai,Punjab
O000375,11016,2025-09-11,Delivered,Debit Card,Lucknow,Gujarat
O000376,10448,2025-07-12,Delivered,Debit Card,Jaipur,Kerala
O000377,11936,2024-04-08,Delivered,COD,Hyderabad,Maharashtra
O000378,11744,2025-06-09,Delivered,Credit Card,Kochi,West Bengal
O000379,10996,2024-07-12,Delivered,COD,Delhi,Kerala
O000380,11943,2024-06-05,Returned,COD,Ludhiana,Punjab
O000381,11447,2025-10-27,Delivered,Net Banking,Chennai,Haryana
O000382,11085,2024-04-24,Delivered,UPI,Bengaluru,Uttar Pradesh
