payment_id,order_id,payment_date,payment_method,payment_status
PAY0000083,O000083,2024-02-21,UPI,Paid
PAY0000084,O000084,2024-03-19,Net Banking,Paid
PAY0000085,O000085,2025-01-19,Debit Card,Paid
PAY0000086,O000086,2025-07-29,UPI,Paid
PAY0000087,O000087,2024-01-08,Credit Card,Paid
PAY0000088,O000088,2024-08-01,UPI,Paid
PAY0000089,O000089,2024-01-25,COD,Pending
PAY0000090,O000090,2025-03-25,Net Banking,Paid
PAY0000091,O000091,2025-04-01,Net Banking,Paid
PAY0000092,O000092,2025-04-05,Debit Card,Paid
PAY0000093,O000093,2024-07-16,Net Banking,Paid
PAY0000094,O000094,2024-04-03,Debit Card,Paid
PAY0000095,O000095,2025-12-19,COD,Paid
PAY0000096,O000096,2025-03-12,Credit Card,Paid
PAY0000097,O000097,2025-06-10,COD,Paid
PAY0000098,O000098,2025-11-20,Debit Card,Failed
PAY0000099,O000099,2025-01-12,Debit Card,Paid
PAY0000100,O000100,2025-08-09,Debit Card,Paid
PAY0000101,O000101,2024-04-13,Credit Card,Failed
PAY0000102,O000102,2025-11-10,Debit Card,Paid
PAY0000103,O000103,2025-09-18,COD,Paid
PAY0000104,O000104,2024-02-08,Credit Card,Paid
PAY0000105,O000105,2025-04-02,COD,Pending
PAY0000106,O000106,2024-12-29,Credit Card,Paid
PAY0000107,O000107,2024-05-14,Debit Card,Paid
PAY0000108,O000108,2025-01-08,Credit Card,Paid
PAY0000109,O000109,2024-08-19,UPI,Paid
PAY0000110,O000110,2024-02-08,COD,Paid
PAY0000111,O000111,2024-02-16,UPI,Paid
PAY0000112,O000112,2024-02-05,UPI,Paid
PAY0000113,O000113,2024-04-04,Debit Card,Paid
PAY0000114,O000114,2024-12-26,Debit Card,Paid
PAY0000115,O000115,2025-06-08,UPI,Paid
PAY0000116,O000116,2024-05-25,Credit Card,Paid
PAY0000117,O000117,2025-01-02,Debit Card,Paid
PAY0000118,O000118,2024-03-05,COD,Paid
PAY0000119,O000119,2024-08-15,UPI,Paid
PAY0000120,O000120,2025-06-03,COD,Paid
PAY0000121,O000121,2025-07-08,COD,Failed
PAY0000122,O000122,2024-06-29,COD,Paid
PAY0000123,O000123,2025-05-15,UPI,Pending
PAY0000124,O000124,2025-08-19,Net Banking,Pending
PAY0000125,O000125,2024-06-03,Debit Card,Paid
PAY0000126,O000126,2025-06-18,COD,Failed
PAY0000127,O000127,2025-09-18,UPI,Failed
PAY0000128,O000128,2025-03-10,Net Banking,Paid
PAY0000129,O000129,2024-04-08,UPI,Paid
PAY0000130,O000130,2025-09-07,Debit Card,Paid
PAY0000131,O000131,2025-01-06,UPI,Paid
PAY0000132,O000132,2025-07-16,Credit Card,Paid
PAY0000133,O000133,2024-12-27,Credit Card,Paid
PAY0000134,O000134,2024-04-21,COD,Paid
PAY0000135,O000135,2025-03-28,UPI,Paid
PAY0000136,O000136,2024-06-17,UPI,Paid
PAY0000137,O000137,2025-08-06,COD,Paid
PAY0000138,O000138,2024-05-18,COD,Pending
PAY0000139,O000139,2024-08-18,Net Banking,Paid
PAY0000140,O000140,2024-08-26,UPI,Paid
PAY0000141,O000141,2024-09-09,Debit Card,Paid
PAY0000142,O000142,2025-03-11,Debit Card,Pending
PAY0000143,O000143,2025-07-14,Debit Card,Paid
PAY0000144,O000144,2025-02-25,COD,Paid
PAY0000145,O000145,2024-10-29,COD,Paid
PAY0000146,O000146,2024-03-12,COD,Paid
PAY0000147,O000147,2024-09-19,Debit Card,Paid
PAY0000148,O000148,2024-08-09,Net Banking,Paid
PAY0000149,O000149,2024-03-17,Credit Card,Paid
PAY0000150,O000150,2024-03-02,UPI,Paid
PAY0000151,O000151,2025-04-15,Credit Card,Paid
PAY0000152,O000152,2024-06-05,UPI,Paid
PAY0000153,O000153,2024-05-04,COD,Paid
PAY0000154,O000154,2024-06-09,Debit Card,Paid
PAY0000155,O000155,2025-06-24,Credit Card,Paid
PAY0000156,O000156,2025-09-17,COD,Paid
PAY0000157,O000157,2025-08-13,UPI,Paid
PAY0000158,O000158,2025-06-18,Credit Card,Pending
PAY0000159,O000159,2024-04-15,Credit Card,Failed
PAY0000160,O000160,2024-05-10,Credit Card,Paid
PAY0000161,O000161,2024-12-22,Credit Card,Paid
PAY0000162,O000162,2025-11-15,Credit Card,Refunded
PAY0000163,O000163,2024-01-02,COD,Paid
PAY0000164,O000164,2024-08-20,UPI,Failed
PAY0000165,O000165,2025-01-03,UPI,Paid
PAY0000166,O000166,2024-09-07,Net Banking,Paid
PAY0000167,O000167,2024-04-17,Debit Card,Paid
PAY0000168,O000168,2024-10-02,Credit Card,Failed
PAY0000169,O000169,2024-06-28,UPI,Paid
PAY0000170,O000170,2025-12-25,Debit Card,Paid
PAY0000171,O000171,2024-10-19,Debit Card,Paid
PAY0000172,O000172,2025-08-06,COD,Paid
PAY0000173,O000173,2024-06-23,Credit Card,Paid
PAY0000174,O000174,2024-05-02,Net Banking,Pending
PAY0000175,O000175,2024-08-14,Debit Card,Paid
PAY0000176,O000176,2025-03-19,COD,Paid
PAY0000177,O000177,2025-03-03,Credit Card,Paid
PAY0000178,O000178,2024-03-23,UPI,Paid
PAY0000179,O000179,2025-10-19,Net Banking,Refunded
PAY0000180,O000180,2025-09-23,Credit Card,Paid
PAY0000181,O000181,2024-03-05,COD,Paid
PAY0000182,O000182,2024-10-07,COD,Paid
PAY0000183,O000183,2025-01-25,COD,Paid
PAY0000184,O000184,2025-03-03,COD,Paid
PAY0000185,O000185,2025-09-09,COD,Paid
PAY0000186,O000186,2024-04-16,Net Banking,Pending
PAY0000187,O000187,2025-07-01,Debit Card,Paid
PAY0000188,O000188,2025-10-20,Debit Card,Paid
PAY0000189,O000189,2024-09-18,UPI,Paid
PAY0000190,O000190,2024-06-07,Debit Card,Paid
PAY0000191,O000191,2024-09-21,COD,Pending
PAY0000192,O000192,2025-04-12,Debit Card,Paid
PAY0000193,O000193,2024-07-20,Debit Card,Paid
PAY0000194,O000194,2024-06-03,COD,Paid
PAY0000195,O000195,2024-01-13,Net Banking,Paid
PAY0000196,O000196,2024-10-23,COD,Paid
PAY0000197,O000197,2025-05-12,Debit Card,Pending
PAY0000198,O000198,2025-08-19,Debit Card,Paid
PAY0000199,O000199,2024-09-01,UPI,Paid
PAY0000200,O000200,2024-10-26,COD,Paid
PAY0000201,O000201,2024-12-27,UPI,Paid
PAY0000202,O000202,2024-12-19,UPI,Paid
PAY0000203,O000203,2025-06-04,Credit Card,Paid
PAY0000204,O000204,2025-01-20,UPI,Paid
PAY0000205,O000205,2024-11-07,Debit Card,Paid
PAY0000206,O000206,2025-02-17,Debit Card,Paid
PAY0000207,O000207,2024-10-04,Credit Card,Paid
PAY0000208,O000208,2025-12-15,Credit Card,Paid
PAY0000209,O000209,2025-08-15,COD,Paid
PAY0000210,O000210,2024-12-21,Credit Card,Paid
PAY0000211,O000211,2025-06-08,Net Banking,Failed
PAY0000212,O000212,2024-01-16,Debit Card,Pending
PAY0000213,O000213,2024-02-14,Debit Card,Paid
PAY0000214,O000214,2024-11-16,Credit Card,Paid
PAY0000215,O000215,2025-10-12,Credit Card,Paid
PAY0000216,O000216,2024-11-21,Debit Card,Paid
PAY0000217,O000217,2024-05-27,Credit Card,Paid
PAY0000218,O000218,2024-12-20,COD,Paid
PAY0000219,O000219,2024-08-23,Credit Card,Failed
PAY0000220,O000220,2025-12-03,Credit Card,Paid
PAY0000221,O000221,2025-09-04,COD,Refunded
PAY0000222,O000222,2024-04-14,COD,Failed
PAY0000223,O000223,2025-04-18,COD,Paid
PAY0000224,O000224,2025-01-30,Debit Card,Paid
PAY0000225,O000225,2025-03-21,Credit Card,Refunded
PAY0000226,O000226,2025-08-28,COD,Paid
PAY0000227,O000227,2024-08-07,COD,Failed
PAY0000228,O000228,2025-03-17,Debit Card,Paid
PAY0000229,O000229,2025-10-06,Net Banking,Failed
PAY0000230,O000230,2025-10-28,Credit Card,Refunded
PAY0000231,O000231,2024-01-28,Net Banking,Paid
PAY0000232,O000232,2025-04-19,Net Banking,Paid
PAY0000233,O000233,2025-09-19,COD,Paid
PAY0000234,O000234,2024-10-31,Debit Card,Paid
PAY0000235,O000235,2025-02-08,Credit Card,Paid
PAY0000236,O000236,2025-05-27,Credit Card,Paid
PAY0000237,O000237,2025-05-16,Credit Card,Paid
PAY0000238,O000238,2024-12-13,Net Banking,Paid
PAY0000239,O000239,2024-08-27,UPI,Paid
PAY0000240,O000240,2025-07-23,Debit Card,Paid
PAY0000241,O000241,2025-11-25,UPI,Paid
PAY0000242,O000242,2024-12-02,Net Banking,Paid
PAY0000243,O000243,2024-01-26,COD,Paid
PAY0000244,O000244,2025-02-12,UPI,Paid
PAY0000245,O000245,2024-03-17,UPI,Paid
PAY0000246,O000246,2024-08-04,Debit Card,Paid
PAY0000247,O000247,2024-11-23,Net Banking,Paid
PAY0000248,O000248,2024-01-23,Debit Card,Paid
PAY0000249,O000249,2025-10-31,COD,Paid
PAY0000250,O000250,2025-12-18,Credit Card,Paid
PAY0000251,O000251,2024-11-05,Net Banking,Paid
PAY0000252,O000252,2025-08-21,COD,Pending
PAY0000253,O000253,2024-09-23,COD,Paid
PAY0000254,O000254,2025-02-18,UPI,Paid
PAY0000255,O000255,2025-10-07,Debit Card,Paid
PAY0000256,O000256,2024-09-23,UPI,Pending
PAY0000257,O000257,2024-11-28,UPI,Paid
PAY0000258,O000258,2025-03-25,Credit Card,Paid
PAY0000259,O000259,2025-07-18,Debit Card,Paid
PAY0000260,O000260,2025-09-02,Credit Card,Paid
PAY0000261,O000261,2024-09-03,COD,Pending
PAY0000262,O000262,2024-02-05,Credit Card,Paid
PAY0000263,O000263,2025-02-04,COD,Paid
PAY0000264,O000264,2024-01-28,UPI,Failed
PAY0000265,O000265,2024-08-07,Credit Card,Paid
PAY0000266,O000266,2025-02-09,Debit Card,Paid
PAY0000267,O000267,2025-09-05,Credit Card,Refunded
PAY0000268,O000268,2024-09-27,COD,Paid
PAY0000269,O000269,2025-10-12,Net Banking,Paid
PAY0000270,O000270,2025-05-25,Debit Card,Pending
PAY0000271,O000271,2024-10-12,COD,Paid
PAY0000272,O000272,2025-03-29,Net Banking,Paid
PAY0000273,O000273,2024-11-12,Debit Card,Paid
PAY0000274,O000274,2025-08-12,Net Banking,Paid
PAY0000275,O000275,2024-10-23,UPI,Paid
PAY0000276,O000276,2024-12-03,UPI,Paid
PAY0000277,O000277,2024-11-02,Credit Card,Pending
PAY0000278,O000278,2025-03-03,Credit Card,Paid
PAY0000279,O000279,2024-12-16,Credit Card,Paid
PAY0000280,O000280,2025-05-25,Credit Card,Paid
PAY0000281,O000281,2025-06-08,Net Banking,Refunded
PAY0000282,O000282,2025-05-06,Debit Card,Pending
PAY0000283,O000283,2025-08-16,Debit Card,Paid
PAY0000284,O000284,2024-01-09,Credit Card,Paid
PAY0000285,O000285,2025-05-11,UPI,Refunded
PAY0000286,O000286,2025-12-25,COD,Paid
PAY0000287,O000287,2025-07-13,Credit Card,Paid
PAY0000288,O000288,2025-07-14,Credit Card,Paid
PAY0000289,O000289,2025-03-15,UPI,Failed
PAY0000290,O000290,2025-07-05,COD,Paid
PAY0000291,O000291,2024-04-17,Net Banking,Paid
PAY0000292,O000292,2024-09-01,Net Banking,Paid
PAY0000293,O000293,2024-09-11,COD,Paid
PAY0000294,O000294,2024-02-02,COD,Paid
PAY0000295,O000295,2024-01-23,Net Banking,Paid
PAY0000296,O000296,2025-07-19,Credit Card,Paid
PAY0000297,O000297,2024-02-18,Credit Card,Paid
PAY0000298,O000298,2025-04-06,UPI,Paid
PAY0000299,O000299,2025-08-12,COD,Paid
PAY0000300,O000300,2024-12-01,Credit Card,Paid
PAY0000301,O000301,2024-12-23,Credit Card,Paid
PAY0000302,O000302,2024-05-01,UPI,Paid
PAY0000303,O000303,2025-03-19,COD,Paid
PAY0000304,O000304,2024-12-24,UPI,Paid
PAY0000305,O000305,2025-08-24,UPI,Pending
PAY0000306,O000306,2024-12-11,Net Banking,Refunded
PAY0000307,O000307,2024-07-11,UPI,Paid
PAY0000308,O000308,2025-02-19,COD,Paid
PAY0000309,O000309,2025-01-11,Credit Card,Paid
PAY0000310,O000310,2025-04-07,Credit Card,Refunded
PAY0000311,O000311,2025-10-22,Net Banking,Paid
PAY0000312,O000312,2024-05-25,COD,Paid
PAY0000313,O000313,2025-04-22,Credit Card,Failed
PAY0000314,O000314,2025-10-14,UPI,Paid
PAY0000315,O000315,2025-02-11,Debit Card,Failed
PAY0000316,O000316,2024-10-12,Debit Card,Paid
PAY0000317,O000317,2024-04-20,Debit Card,Paid
PAY0000318,O000318,2025-09-11,Debit Card,Paid
PAY0000319,O000319,2024-02-19,UPI,Paid
PAY0000320,O000320,2024-01-14,Credit Card,Paid
PAY0000321,O000321,2024-05-13,Net Banking,Paid
PAY0000322,O000322,2025-08-10,UPI,Paid
PAY0000323,O000323,2025-08-18,Credit Card,Paid
PAY0000324,O000324,2024-12-08,COD,Failed
PAY0000325,O000325,2025-10-31,Credit Card,Paid
PAY0000326,O000326,2024-10-12,Credit Card,Paid
PAY0000327,O000327,2024-11-09,Credit Card,Paid
PAY0000328,O000328,2025-08-28,UPI,Paid
PAY0000329,O000329,2024-10-23,Credit Card,Paid
PAY0000330,O000330,2025-08-28,Credit Card,Failed
PAY0000331,O000331,2025-07-22,COD,Paid
PAY0000332,O000332,2024-06-12,COD,Paid
PAY0000333,O000333,2025-05-11,Debit Card,Paid
PAY0000334,O000334,2025-09-01,UPI,Paid
PAY0000335,O000335,2024-01-16,Credit Card,Pending
PAY0000336,O000336,2024-12-09,Debit Card,Paid
PAY0000337,O000337,2024-03-18,Debit Card,Paid
PAY0000338,O000338,2024-12-11,UPI,Pending
PAY0000339,O000339,2024-03-12,Debit Card,Paid
PAY0000340,O000340,2024-09-26,Debit Card,Paid
PAY0000341,O000341,2024-10-13,UPI,Failed
PAY0000342,O000342,2024-03-06,Net Banking,Paid
PAY0000343,O000343,2024-03-08,Debit Card,Paid
PAY0000344,O000344,2024-07-11,COD,Paid
PAY0000345,O000345,2024-02-24,Debit Card,Failed
PAY0000346,O000346,2025-01-13,UPI,Paid
PAY0000347,O000347,2024-06-16,UPI,Paid
PAY0000348,O000348,2025-02-12,Net Banking,Failed
PAY0000349,O000349,2025-05-22,Net Banking,Paid
PAY0000350,O000350,2025-06-20,COD,Pending
PAY0000351,O000351,2025-10-04,COD,Paid
PAY0000352,O000352,2024-04-11,Debit Card,Paid
PAY0000353,O000353,2025-02-25,Net Banking,Paid
PAY0000354,O000354,2025-04-22,COD,Paid
PAY0000355,O000355,2024-04-29,Debit Card,Paid
PAY0000356,O000356,2024-10-17,Credit Card,Paid
PAY0000357,O000357,2025-05-02,Debit Card,Paid
PAY0000358,O000358,2024-06-09,COD,Paid
PAY0000359,O000359,2025-11-03,Debit Card,Paid
PAY0000360,O000360,2024-03-18,Credit Card,Paid
PAY0000361,O000361,2024-02-07,COD,Paid
PAY0000362,O000362,2025-01-28,Debit Card,Paid
PAY0000363,O000363,2025-03-16,COD,Pending
PAY0000364,O000364,2025-06-23,Debit Card,Failed
PAY0000365,O000365,2025-04-06,UPI,Paid
PAY0000366,O000366,2025-09-03,COD,Paid
PAY0000367,O000367,2024-10-20,COD,Paid
PAY0000368,O000368,2025-02-03,COD,Refunded
PAY0000369,O000369,2025-09-27,COD,Paid
PAY0000370,O000370,2024-04-01,Debit Card,Paid
PAY0000371,O000371,2025-08-31,Net Banking,Paid
PAY0000372,O000372,2024-01-06,Debit Card,Paid
PAY0000373,O000373,2025-11-11,Credit Card,Paid
PAY0000374,O000374,2024-09-27,UPI,Paid
PAY0000375,O000375,2025-09-11,Debit Card,Paid
PAY0000376,O000376,2025-07-12,Debit Card,Paid
PAY0000377,O000377,2024-04-08,COD,Paid
PAY0000378,O000378,2025-06-09,Credit Card,Paid
PAY0000379,O000379,2024-07-12,COD,Refunded
PAY0000380,O000380,2024-06-05,COD,Paid
PAY0000381,O000381,2025-10-27,Net Banking,Paid
PAY0000382,O000382,2024-04-24,UPI,Paid
PAY0000383,O000383,2025-01-30,Net Banking,Failed
PAY0000384,O000384,2025-10-18,COD,Paid
PAY0000385,O000385,2025-06-05,UPI,Failed
PAY0000386,O000386,2024-08-01,Debit Card,Pending
PAY0000387,O000387,2025-11-13,Credit Card,Pending
PAY0000388,O000388,2025-06-16,Net Banking,Failed
PAY0000389,O000389,2024-01-15,Credit Card,Paid
PAY0000390,O000390,2025-02-22,COD,Paid
PAY0000391,O000391,2025-01-02,UPI,Paid
PAY0000392,O000392,2025-09-29,Debit Card,Paid
PAY0000393,O000393,2024-07-31,UPI,Paid
PAY0000394,O000394,2025-11-30,Credit Card,Paid
PAY0000395,O000395,2025-11-14,Credit Card,Paid
PAY0000396,O000396,2024-01-05,Debit Card,Paid
PAY0000397,O000397,2024-08-18,Debit Card,Paid
PAY0000398,O000398,2024-07-19,UPI,Paid
PAY0000399,O000399,2025-02-05,Net Banking,Paid
PAY0000400,O000400,2024-05-28,UPI,Paid
PAY0000401,O000401,2025-08-06,Credit Card,Paid
PAY0000402,O000402,2025-05-06,UPI,Paid
PAY0000403,O000403,2024-08-13,COD,Paid
PAY0000404,O000404,2025-08-08,UPI,Paid
PAY0000405,O000405,2024-06-17,UPI,Paid
PAY0000406,O000406,2024-05-31,COD,Paid
PAY0000407,O000407,2024-08-11,Credit Card,Paid
PAY0000408,O000408,2025-05-18,Debit Card,Paid
PAY0000409,O000409,2025-07-03,UPI,Paid
PAY0000410,O000410,2024-02-13,Net Banking,Paid
PAY0000411,O000411,2025-11-27,Debit Card,Paid
PAY0000412,O000412,2025-05-18,Net Banking,Paid
PAY0000413,O000413,2024-08-28,UPI,Pending
PAY0000414,O000414,2024-12-16,Net Banking,Failed
PAY0000415,O000415,2025-12-22,Debit Card,Paid
PAY0000416,O000416,2024-01-23,Net Banking,Paid
PAY0000417,O000417,2025-09-27,Net Banking,Paid
PAY0000418,O000418,2025-08-20,Debit Card,Paid
PAY0000419,O000419,2024-02-12,Debit Card,Paid
PAY0000420,O000420,2025-04-10,Debit Card,Paid
PAY0000421,O000421,2024-02-09,Debit Card,Paid
PAY0000422,O000422,2024-10-29,COD,Pending
PAY0000423,O000423,2025-11-11,UPI,Paid
PAY0000424,O000424,2024-06-23,Debit Card,Paid
PAY0000425,O000425,2025-06-15,Credit Card,Pending
PAY0000426,O000426,2025-04-05,Net Banking,Refunded
PAY0000427,O000427,2025-09-12,Debit Card,Paid
PAY0000428,O000428,2024-07-11,Debit Card,Paid
PAY0000429,O000429,2024-08-31,UPI,Paid
PAY0000430,O000430,2024-10-06,Debit Card,Paid
PAY0000431,O000431,2024-02-05,COD,Paid
PAY0000432,O000432,2025-07-10,Credit Card,Failed
PAY0000433,O000433,2025-06-23,Credit Card,Failed
PAY0000434,O000434,2024-06-02,Debit Card,Paid
PAY0000435,O000435,2024-01-23,UPI,Paid
PAY0000436,O000436,2025-12-19,Debit Card,Failed
PAY0000437,O000437,2024-03-31,Net Banking,Paid
PAY0000438,O000438,2025-01-24,Credit Card,Paid
PAY0000439,O000439,2024-12-24,Net Banking,Paid
PAY0000440,O000440,2025-07-03,COD,Paid
PAY0000441,O000441,2024-08-15,Credit Card,Paid
PAY0000442,O000442,2024-07-20,Credit Card,Paid
PAY0000443,O000443,2024-12-15,COD,Paid
PAY0000444,O000444,2024-02-07,Net Banking,Paid
PAY0000445,O000445,2025-05-14,Debit Card,Paid
PAY0000446,O000446,2025-11-29,UPI,Paid
PAY0000447,O000447,2024-02-12,Net Banking,Paid
PAY0000448,O000448,2025-09-17,COD,Paid
PAY0000449,O000449,2025-05-31,COD,Paid
PAY0000450,O000450,2024-03-08,COD,Paid
PAY0000451,O000451,2024-05-02,Credit Card,Paid
PAY0000452,O000452,2025-11-15,Debit Card,Paid
PAY0000453,O000453,2024-12-01,Credit Card,Pending
PAY0000454,O000454,2024-06-01,Credit Card,Pending
PAY0000455,O000455,2025-10-30,Credit Card,Pending
PAY0000456,O000456,2024-06-10,COD,Refunded
PAY0000457,O000457,2024-08-01,Net Banking,Paid
PAY0000458,O000458,2025-01-10,UPI,Paid
PAY0000459,O000459,2025-03-18,UPI,Paid
PAY0000460,O000460,2025-02-26,Debit Card,Paid
PAY0000461,O000461,2025-06-21,Debit Card,Paid
PAY0000462,O000462,2025-12-01,COD,Paid
PAY0000463,O000463,2025-09-25,UPI,Paid
PAY0000464,O000464,2024-08-17,Net Banking,Paid
PAY0000465,O000465,2024-02-28,COD,Paid
PAY0000466,O000466,2024-04-05,Debit Card,Paid
PAY0000467,O000467,2024-09-18,COD,Paid
PAY0000468,O000468,2024-12-19,Debit Card,Paid
PAY0000469,O000469,2024-11-07,UPI,Failed
PAY0000470,O000470,2024-05-15,COD,Paid
PAY0000471,O000471,2025-04-17,Credit Card,Failed
PAY0000472,O000472,2025-09-23,Debit Card,Paid
PAY0000473,O000473,2025-03-05,Credit Card,Paid
PAY0000474,O000474,2025-06-20,Debit Card,Pending
PAY0000475,O000475,2024-05-25,Credit Card,Paid
PAY0000476,O000476,2025-06-07,UPI,Failed
PAY0000477,O000477,2024-03-27,UPI,Paid
PAY0000478,O000478,2024-04-18,Net Banking,Paid
PAY0000479,O000479,2025-02-26,Net Banking,Pending
PAY0000480,O000480,2024-12-10,Net Banking,Paid
PAY0000481,O000481,2024-09-22,COD,Paid
PAY0000482,O000482,2025-08-08,Debit Card,Paid
PAY0000483,O000483,2025-05-08,COD,Paid
PAY0000484,O000484,2024-11-28,Net Banking,Paid
PAY0000485,O000485,2025-02-16,Debit Card,Paid
PAY0000486,O000486,2025-09-05,COD,Paid
PAY0000487,O000487,2025-10-10,UPI,Paid
PAY0000488,O000488,2024-07-09,Debit Card,Paid
PAY0000489,O000489,2024-05-21,Net Banking,Failed
PAY0000490,O000490,2024-03-13,UPI,Paid
PAY0000491,O000491,2024-06-15,Debit Card,Paid
PAY0000492,O000492,2024-06-16,COD,Paid
PAY0000493,O000493,2025-07-19,Net Banking,Pending
PAY0000494,O000494,2024-09-15,COD,Paid
PAY0000495,O000495,2025-03-14,UPI,Failed
PAY0000496,O000496,2024-04-20,UPI,Paid
PAY0000497,O000497,2025-11-03,UPI,Paid
PAY0000498,O000498,2025-06-14,Debit Card,Paid
PAY0000499,O000499,2024-10-16,Net Banking,Paid
PAY0000500,O000500,2025-07-15,UPI,Paid
PAY0000501,O000501,2025-05-24,COD,Paid
PAY0000502,O000502,2024-06-23,Net Banking,Paid
PAY0000503,O000503,2024-10-28,COD,Paid
PAY0000504,O000504,2025-11-26,COD,Paid
PAY0000505,O000505,2024-07-03,UPI,Paid
PAY0000506,O000506,2024-12-04,Net Banking,Paid
PAY0000507,O000507,2025-05-24,Credit Card,Paid
PAY0000508,O000508,2024-11-05,Debit Card,Paid
PAY0000509,O000509,2025-05-21,Credit Card,Paid
PAY0000510,O000510,2024-12-11,Debit Card,Paid
PAY0000511,O000511,2024-03-21,Net Banking,Paid
PAY0000512,O000512,2025-01-08,UPI,Paid
PAY0000513,O000513,2024-06-04,Net Banking,Paid
PAY0000514,O000514,2025-03-07,Credit Card,Paid
PAY0000515,O000515,2025-05-14,COD,Paid
PAY0000516,O000516,2024-05-26,Debit Card,Paid
