order_item_id,order_id,product_id,quantity,discount_pct,gross_amount,discount_amount,net_amount
OI0000059,O000616,P0251,2,20,49386.94,9877.39,39509.55
OI0000060,O005790,P0225,4,0,164345.56,0.0,164345.56
OI0000061,O006042,P0296,1,0,32337.21,0.0,32337.21
OI0000062,O002182,P0110,2,0,24926.56,0.0,24926.56
OI0000063,O002614,P0009,1,10,27316.66,2731.67,24584.99
OI0000064,O004024,P0122,2,15,74261.66,11139.25,63122.41
OI0000065,O009859,P0299,2,20,78572.34,15714.47,62857.87
OI0000066,O007993,P0051,3,10,110161.2,11016.12,99145.08
OI0000067,O000080,P0213,1,0,24138.56,0.0,24138.56
OI0000068,O007131,P0050,4,0,189291.88,0.0,189291.88
OI0000069,O005240,P0204,2,25,17589.86,4397.46,13192.4
OI0000070,O001158,P0150,4,0,33045.6,0.0,33045.6
OI0000071,O009933,P0092,3,15,59892.06,8983.81,50908.25
OI0000072,O000447,P0091,4,0,148003.2,0.0,148003.2
OI0000073,O009244,P0010,3,0,80124.15,0.0,80124.15
OI0000074,O005421,P0210,1,0,43010.34,0.0,43010.34
OI0000075,O009786,P0195,3,5,35099.67,1754.98,33344.69
OI0000076,O000979,P0030,2,5,93365.96,4668.3,88697.66
OI0000077,O000029,P0150,3,0,24784.2,0.0,24784.2
OI0000078,O002425,P0092,1,25,19964.02,4991.0,14973.02
OI0000079,O001974,P0201,1,0,35837.65,0.0,35837.65
OI0000080,O000033,P0297,2,15,41705.68,6255.85,35449.83
OI0000081,O007622,P0144,2,10,67355.38,6735.54,60619.84
OI0000082,O005056,P0069,4,0,80905.56,0.0,80905.56
OI0000083,O008812,P0142,2,0,13561.32,0.0,13561.32
OI0000084,O002948,P0014,3,10,28836.18,2883.62,25952.56
OI0000085,O007669,P0175,2,5,94824.1,4741.2,90082.9
OI0000086,O009488,P0272,4,10,84734.28,8473.43,76260.85
OI0000087,O002549,P0043,2,10,33677.98,3367.8,30310.18
OI0000088,O009091,P0068,4,10,165080.84,16508.08,148572.76
OI0000089,O004799,P0255,2,10,24572.42,2457.24,22115.18
OI0000090,O003665,P0142,1,0,6780.66,0.0,6780.66
OI0000091,O001942,P0041,2,15,35055.68,5258.35,29797.33
OI0000092,O003218,P0087,3,5,53726.94,2686.35,51040.59
OI0000093,O006713,P0075,1,0,35952.26,0.0,35952.26
OI0000094,O006428,P0019,2,0,32502.92,0.0,32502.92
OI0000095,O005015,P0268,2,0,18368.22,0.0,18368.22
OI0000096,O006280,P0098,1,10,20044.4,2004.44,18039.96
OI0000097,O003244,P0140,1,10,25151.16,2515.12,22636.04
OI0000098,O004985,P0131,1,0,5464.08,0.0,5464.08
OI0000099,O009775,P0186,3,0,45124.56,0.0,45124.56
OI0000100,O007178,P0174,2,0,58162.8,0.0,58162.8
OI0000101,O002345,P0179,4,5,102051.68,5102.58,96949.1
OI0000102,O002755,P0015,2,15,47153.72,7073.06,40080.66
OI0000103,O004095,P0299,2,10,78572.34,7857.23,70715.11
OI0000104,O000330,P0265,1,20,31774.94,6354.99,25419.95
OI0000105,O006592,P0039,4,5,37993.2,1899.66,36093.54
OI0000106,O008207,P0231,2,0,47175.56,0.0,47175.56
OI0000107,O002264,P0057,2,20,69828.28,13965.66,55862.62
OI0000108,O009917,P0263,1,15,44250.68,6637.6,37613.08
OI0000109,O005373,P0002,2,10,92928.48,9292.85,83635.63
OI0000110,O004426,P0054,3,20,124110.12,24822.02,99288.1
OI0000111,O002612,P0059,2,10,83342.8,8334.28,75008.52
OI0000112,O005550,P0094,3,10,56696.49,5669.65,51026.84
OI0000113,O001083,P0213,1,10,24138.56,2413.86,21724.7
OI0000114,O006320,P0058,2,10,58845.32,5884.53,52960.79
OI0000115,O003890,P0217,3,10,25950.96,2595.1,23355.86
OI0000116,O003420,P0141,2,5,32435.58,1621.78,30813.8
OI0000117,O004457,P0212,1,25,11475.19,2868.8,8606.39
OI0000118,O001790,P0133,1,25,14450.81,3612.7,10838.11
OI0000119,O007234,P0166,2,0,22239.82,0.0,22239.82
OI0000120,O006057,P0232,1,10,39189.12,3918.91,35270.21
OI0000121,O002618,P0025,3,15,133686.12,20052.92,113633.2
OI0000122,O008831,P0200,1,0,10906.24,0.0,10906.24
OI0000123,O002564,P0048,1,0,47730.5,0.0,47730.5
OI0000124,O002481,P0052,3,10,95839.32,9583.93,86255.39
OI0000125,O005152,P0060,2,0,7596.26,0.0,7596.26
OI0000126,O005807,P0279,1,20,18388.16,3677.63,14710.53
OI0000127,O001598,P0239,2,20,1328.76,265.75,1063.01
OI0000128,O002274,P0278,3,15,92537.88,13880.68,78657.2
OI0000129,O006288,P0025,2,20,89124.08,17824.82,71299.26
OI0000130,O009668,P0183,1,15,27785.3,4167.8,23617.5
OI0000131,O006162,P0239,1,0,664.38,0.0,664.38
OI0000132,O002780,P0064,1,0,17144.69,0.0,17144.69
OI0000133,O006890,P0004,3,20,69870.18,13974.04,55896.14
OI0000134,O005510,P0117,1,15,36170.1,5425.52,30744.58
OI0000135,O000747,P0053,2,5,64667.66,3233.38,61434.28
OI0000136,O002410,P0026,4,15,19612.92,2941.94,16670.98
OI0000137,O006079,P0100,4,0,154677.56,0.0,154677.56
OI0000138,O004945,P0207,1,5,17750.15,887.51,16862.64
OI0000139,O006244,P0219,3,5,115648.29,5782.41,109865.88
OI0000140,O004352,P0014,2,0,19224.12,0.0,19224.12
OI0000141,O005435,P0060,2,15,7596.26,1139.44,6456.82
OI0000142,O009055,P0153,3,15,78202.65,11730.4,66472.25
OI0000143,O000162,P0054,2,10,82740.08,8274.01,74466.07
OI0000144,O004013,P0255,1,5,12286.21,614.31,11671.9
OI0000145,O005761,P0021,2,10,93933.22,9393.32,84539.9
OI0000146,O007933,P0035,4,20,127137.24,25427.45,101709.79
OI0000147,O003215,P0180,3,5,4178.94,208.95,3969.99
OI0000148,O006367,P0154,2,5,56441.8,2822.09,53619.71
OI0000149,O006451,P0143,2,10,37886.2,3788.62,34097.58
OI0000150,O009826,P0005,3,15,13822.23,2073.33,11748.9
OI0000151,O000571,P0161,2,10,26548.0,2654.8,23893.2
OI0000152,O006289,P0121,3,20,58811.82,11762.36,47049.46
OI0000153,O003896,P0209,1,5,9563.45,478.17,9085.28
OI0000154,O006801,P0172,3,10,24488.04,2448.8,22039.24
OI0000155,O008978,P0276,2,15,99515.88,14927.38,84588.5
OI0000156,O000823,P0234,2,5,60617.42,3030.87,57586.55
OI0000157,O006627,P0119,1,0,22218.38,0.0,22218.38
OI0000158,O009775,P0008,2,20,16364.78,3272.96,13091.82
OI0000159,O008625,P0064,4,10,68578.76,6857.88,61720.88
OI0000160,O007063,P0157,4,0,128617.8,0.0,128617.8
OI0000161,O004373,P0147,2,25,59145.5,14786.38,44359.12
OI0000162,O003741,P0137,2,5,44000.62,2200.03,41800.59
OI0000163,O002734,P0072,2,10,5510.9,551.09,4959.81
OI0000164,O006244,P0015,3,10,70730.58,7073.06,63657.52
OI0000165,O005173,P0091,2,5,74001.6,3700.08,70301.52
OI0000166,O008839,P0269,3,0,115041.27,0.0,115041.27
OI0000167,O009502,P0099,2,15,2307.62,346.14,1961.48
OI0000168,O001885,P0292,2,0,26746.82,0.0,26746.82
OI0000169,O004673,P0010,2,15,53416.1,8012.42,45403.68
OI0000170,O005141,P0023,1,20,3921.35,784.27,3137.08
OI0000171,O007468,P0279,3,0,55164.48,0.0,55164.48
OI0000172,O006503,P0068,1,15,41270.21,6190.53,35079.68
OI0000173,O007928,P0133,2,10,28901.62,2890.16,26011.46
OI0000174,O008335,P0004,1,0,23290.06,0.0,23290.06
OI0000175,O004706,P0105,1,10,40727.69,4072.77,36654.92
OI0000176,O007170,P0225,4,5,164345.56,8217.28,156128.28
OI0000177,O000643,P0240,1,0,1841.25,0.0,1841.25
OI0000178,O007856,P0232,3,10,117567.36,11756.74,105810.62
OI0000179,O002500,P0118,2,25,19367.52,4841.88,14525.64
OI0000180,O004143,P0018,2,10,39788.72,3978.87,35809.85
OI0000181,O008619,P0126,4,5,174539.16,8726.96,165812.2
OI0000182,O000868,P0199,4,10,156317.96,15631.8,140686.16
OI0000183,O001563,P0104,3,15,116223.06,17433.46,98789.6
OI0000184,O002948,P0112,3,0,16190.1,0.0,16190.1
OI0000185,O002740,P0014,2,10,19224.12,1922.41,17301.71
OI0000186,O005037,P0266,2,10,76182.8,7618.28,68564.52
OI0000187,O006632,P0105,1,5,40727.69,2036.38,38691.31
OI0000188,O009779,P0295,3,15,138904.29,20835.64,118068.65
OI0000189,O004768,P0229,4,10,28361.0,2836.1,25524.9
OI0000190,O000529,P0174,2,15,58162.8,8724.42,49438.38
OI0000191,O003351,P0107,2,10,20852.68,2085.27,18767.41
OI0000192,O009612,P0293,1,15,25797.73,3869.66,21928.07
OI0000193,O004662,P0239,4,10,2657.52,265.75,2391.77
OI0000194,O008717,P0003,2,15,38043.64,5706.55,32337.09
OI0000195,O009156,P0248,3,0,139954.2,0.0,139954.2
OI0000196,O006902,P0135,3,20,140488.08,28097.62,112390.46
OI0000197,O008642,P0245,3,0,118990.02,0.0,118990.02
OI0000198,O008975,P0052,1,5,31946.44,1597.32,30349.12
OI0000199,O001764,P0038,1,20,29738.17,5947.63,23790.54
OI0000200,O009417,P0063,3,0,57243.63,0.0,57243.63
OI0000201,O006808,P0006,4,20,122108.64,24421.73,97686.91
OI0000202,O000497,P0202,2,10,80083.42,8008.34,72075.08
OI0000203,O002887,P0128,2,0,38790.86,0.0,38790.86
OI0000204,O008400,P0122,2,15,74261.66,11139.25,63122.41
OI0000205,O005585,P0122,3,5,111392.49,5569.62,105822.87
OI0000206,O001502,P0172,3,15,24488.04,3673.21,20814.83
OI0000207,O006198,P0247,3,15,5980.98,897.15,5083.83
OI0000208,O001780,P0283,1,10,27208.48,2720.85,24487.63
OI0000209,O009606,P0109,1,15,35044.71,5256.71,29788.0
OI0000210,O009081,P0193,3,25,64376.64,16094.16,48282.48
OI0000211,O006359,P0165,3,10,7696.14,769.61,6926.53
OI0000212,O002502,P0251,4,0,98773.88,0.0,98773.88
OI0000213,O004507,P0049,2,15,11919.26,1787.89,10131.37
OI0000214,O009933,P0039,1,5,9498.3,474.92,9023.38
OI0000215,O003965,P0164,2,10,74560.52,7456.05,67104.47
OI0000216,O004028,P0194,3,10,83068.5,8306.85,74761.65
OI0000217,O004205,P0068,3,15,123810.63,18571.59,105239.04
OI0000218,O000027,P0258,4,10,115439.64,11543.96,103895.68
OI0000219,O001440,P0104,4,0,154964.08,0.0,154964.08
OI0000220,O001006,P0274,1,15,23348.52,3502.28,19846.24
OI0000221,O009505,P0169,1,20,22873.86,4574.77,18299.09
OI0000222,O001012,P0219,2,0,77098.86,0.0,77098.86
OI0000223,O009869,P0123,2,5,38887.76,1944.39,36943.37
OI0000224,O006494,P0228,1,25,6456.93,1614.23,4842.7
OI0000225,O006006,P0167,3,0,106108.14,0.0,106108.14
OI0000226,O006790,P0154,1,0,28220.9,0.0,28220.9
OI0000227,O008522,P0104,2,10,77482.04,7748.2,69733.84
OI0000228,O006052,P0003,1,5,19021.82,951.09,18070.73
OI0000229,O004018,P0177,2,15,50934.46,7640.17,43294.29
OI0000230,O003005,P0028,2,5,94925.32,4746.27,90179.05
OI0000231,O006227,P0144,2,5,67355.38,3367.77,63987.61
OI0000232,O004363,P0123,4,25,77775.52,19443.88,58331.64
OI0000233,O003458,P0116,3,5,140846.22,7042.31,133803.91
OI0000234,O005177,P0022,2,0,67303.78,0.0,67303.78
OI0000235,O006943,P0097,3,15,36737.73,5510.66,31227.07
OI0000236,O002235,P0049,3,10,17878.89,1787.89,16091.0
OI0000237,O007505,P0284,1,5,38465.32,1923.27,36542.05
OI0000238,O001871,P0236,4,25,4452.48,1113.12,3339.36
OI0000239,O005607,P0064,4,0,68578.76,0.0,68578.76
OI0000240,O009737,P0188,3,10,125431.26,12543.13,112888.13
OI0000241,O006257,P0194,3,0,83068.5,0.0,83068.5
OI0000242,O006133,P0026,1,0,4903.23,0.0,4903.23
OI0000243,O003414,P0170,1,5,34963.1,1748.16,33214.94
OI0000244,O007938,P0108,2,25,73825.88,18456.47,55369.41
OI0000245,O007631,P0277,4,15,80298.56,12044.78,68253.78
OI0000246,O003782,P0288,4,0,4782.32,0.0,4782.32
OI0000247,O000919,P0198,3,10,121466.76,12146.68,109320.08
OI0000248,O003702,P0197,2,15,53384.04,8007.61,45376.43
OI0000249,O008348,P0024,3,0,69423.33,0.0,69423.33
OI0000250,O001599,P0255,3,0,36858.63,0.0,36858.63
OI0000251,O009873,P0065,2,0,62232.94,0.0,62232.94
OI0000252,O001047,P0279,4,10,73552.64,7355.26,66197.38
OI0000253,O003948,P0080,3,0,82410.24,0.0,82410.24
OI0000254,O004883,P0008,3,10,24547.17,2454.72,22092.45
OI0000255,O003483,P0045,1,20,7451.31,1490.26,5961.05
OI0000256,O007942,P0139,4,15,97127.72,14569.16,82558.56
OI0000257,O000228,P0057,3,15,104742.42,15711.36,89031.06
OI0000258,O005883,P0012,2,0,69940.26,0.0,69940.26
OI0000259,O003153,P0072,3,20,8266.35,1653.27,6613.08
OI0000260,O002636,P0063,1,25,19081.21,4770.3,14310.91
OI0000261,O003353,P0163,4,0,61640.48,0.0,61640.48
OI0000262,O006775,P0038,4,25,118952.68,29738.17,89214.51
OI0000263,O002812,P0277,1,20,20074.64,4014.93,16059.71
OI0000264,O008366,P0051,1,25,36720.4,9180.1,27540.3
OI0000265,O007527,P0154,2,5,56441.8,2822.09,53619.71
OI0000266,O001399,P0020,1,25,30596.61,7649.15,22947.46
OI0000267,O007223,P0281,3,0,104525.73,0.0,104525.73
OI0000268,O007832,P0210,4,0,172041.36,0.0,172041.36
OI0000269,O003403,P0245,4,0,158653.36,0.0,158653.36
OI0000270,O003736,P0248,3,5,139954.2,6997.71,132956.49
OI0000271,O002435,P0274,3,0,70045.56,0.0,70045.56
OI0000272,O003220,P0048,3,5,143191.5,7159.58,136031.92
OI0000273,O001148,P0014,2,10,19224.12,1922.41,17301.71
OI0000274,O004836,P0252,2,0,76937.4,0.0,76937.4
OI0000275,O009670,P0166,3,20,33359.73,6671.95,26687.78
OI0000276,O000706,P0113,4,5,196547.48,9827.37,186720.11
OI0000277,O006223,P0064,4,0,68578.76,0.0,68578.76
OI0000278,O002597,P0285,3,5,13924.47,696.22,13228.25
OI0000279,O003529,P0087,4,0,71635.92,0.0,71635.92
OI0000280,O003833,P0234,1,15,30308.71,4546.31,25762.4
OI0000281,O004808,P0249,2,5,34777.92,1738.9,33039.02
OI0000282,O008793,P0113,3,0,147410.61,0.0,147410.61
OI0000283,O006370,P0226,1,10,10382.28,1038.23,9344.05
OI0000284,O002383,P0183,2,10,55570.6,5557.06,50013.54
OI0000285,O008314,P0081,3,5,22187.58,1109.38,21078.2
OI0000286,O000476,P0275,1,5,26967.65,1348.38,25619.27
OI0000287,O008429,P0093,2,15,26585.26,3987.79,22597.47
OI0000288,O002827,P0194,4,10,110758.0,11075.8,99682.2
OI0000289,O003914,P0106,2,0,49551.52,0.0,49551.52
OI0000290,O009860,P0100,2,25,77338.78,19334.7,58004.08
OI0000291,O008574,P0036,3,5,116303.94,5815.2,110488.74
OI0000292,O007572,P0184,2,10,45276.02,4527.6,40748.42
OI0000293,O004485,P0149,3,10,43524.15,4352.42,39171.73
OI0000294,O001471,P0225,4,0,164345.56,0.0,164345.56
OI0000295,O003265,P0063,3,5,57243.63,2862.18,54381.45
OI0000296,O003725,P0202,2,10,80083.42,8008.34,72075.08
OI0000297,O002511,P0143,3,5,56829.3,2841.46,53987.84
OI0000298,O008777,P0268,4,5,36736.44,1836.82,34899.62
OI0000299,O000515,P0259,3,10,138831.54,13883.15,124948.39
OI0000300,O003468,P0254,1,15,13619.6,2042.94,11576.66
OI0000301,O000210,P0265,2,20,63549.88,12709.98,50839.9
OI0000302,O006968,P0042,1,0,23558.2,0.0,23558.2
OI0000303,O004154,P0202,1,15,40041.71,6006.26,34035.45
OI0000304,O009945,P0031,2,25,36566.0,9141.5,27424.5
OI0000305,O003841,P0165,3,10,7696.14,769.61,6926.53
OI0000306,O004040,P0267,4,10,197212.76,19721.28,177491.48
OI0000307,O005233,P0189,1,25,48366.22,12091.56,36274.66
OI0000308,O004167,P0283,4,20,108833.92,21766.78,87067.14
OI0000309,O009699,P0070,3,10,15894.72,1589.47,14305.25
OI0000310,O001069,P0235,3,15,103140.18,15471.03,87669.15
OI0000311,O003857,P0094,1,0,18898.83,0.0,18898.83
OI0000312,O001766,P0299,4,5,157144.68,7857.23,149287.45
OI0000313,O006686,P0262,3,15,142150.11,21322.52,120827.59
OI0000314,O009420,P0141,2,5,32435.58,1621.78,30813.8
OI0000315,O004572,P0230,1,10,37457.46,3745.75,33711.71
OI0000316,O007408,P0268,3,0,27552.33,0.0,27552.33
OI0000317,O000572,P0263,1,20,44250.68,8850.14,35400.54
OI0000318,O007622,P0142,1,20,6780.66,1356.13,5424.53
OI0000319,O003226,P0201,2,10,71675.3,7167.53,64507.77
OI0000320,O009766,P0099,3,0,3461.43,0.0,3461.43
OI0000321,O004562,P0263,2,15,88501.36,13275.2,75226.16
OI0000322,O000225,P0039,1,0,9498.3,0.0,9498.3
OI0000323,O008750,P0184,3,0,67914.03,0.0,67914.03
OI0000324,O005674,P0213,4,25,96554.24,24138.56,72415.68
OI0000325,O003529,P0123,1,0,19443.88,0.0,19443.88
OI0000326,O006636,P0283,3,5,81625.44,4081.27,77544.17
OI0000327,O008645,P0061,2,10,69191.82,6919.18,62272.64
OI0000328,O001898,P0066,1,0,44570.57,0.0,44570.57
OI0000329,O002850,P0289,3,0,38373.54,0.0,38373.54
OI0000330,O000742,P0108,2,10,73825.88,7382.59,66443.29
OI0000331,O008901,P0140,4,0,100604.64,0.0,100604.64
OI0000332,O008346,P0243,2,5,26828.82,1341.44,25487.38
OI0000333,O008658,P0094,1,10,18898.83,1889.88,17008.95
OI0000334,O008759,P0152,2,5,22796.72,1139.84,21656.88
OI0000335,O004058,P0224,3,15,144944.01,21741.6,123202.41
OI0000336,O002815,P0173,1,25,20026.84,5006.71,15020.13
OI0000337,O005570,P0204,1,15,8794.93,1319.24,7475.69
OI0000338,O006223,P0247,3,25,5980.98,1495.24,4485.74
OI0000339,O008203,P0183,2,5,55570.6,2778.53,52792.07
OI0000340,O001005,P0053,3,5,97001.49,4850.07,92151.42
OI0000341,O004906,P0275,3,0,80902.95,0.0,80902.95
OI0000342,O004945,P0179,1,20,25512.92,5102.58,20410.34
OI0000343,O006305,P0098,1,5,20044.4,1002.22,19042.18
OI0000344,O000499,P0126,3,15,130904.37,19635.66,111268.71
OI0000345,O006316,P0194,4,15,110758.0,16613.7,94144.3
OI0000346,O007001,P0045,4,0,29805.24,0.0,29805.24
OI0000347,O006370,P0211,4,20,52140.84,10428.17,41712.67
OI0000348,O005940,P0169,4,10,91495.44,9149.54,82345.9
OI0000349,O007437,P0145,2,0,78324.62,0.0,78324.62
OI0000350,O004391,P0040,1,25,17427.29,4356.82,13070.47
OI0000351,O007487,P0085,4,15,36782.44,5517.37,31265.07
OI0000352,O001552,P0186,3,10,45124.56,4512.46,40612.1
OI0000353,O000726,P0039,1,25,9498.3,2374.57,7123.73
OI0000354,O004682,P0222,2,15,73697.16,11054.57,62642.59
OI0000355,O006728,P0191,1,0,19787.97,0.0,19787.97
OI0000356,O004430,P0028,4,25,189850.64,47462.66,142387.98
OI0000357,O006881,P0175,2,10,94824.1,9482.41,85341.69
OI0000358,O004458,P0237,2,5,31451.06,1572.55,29878.51
OI0000359,O009122,P0047,3,20,70852.2,14170.44,56681.76
OI0000360,O000935,P0110,3,0,37389.84,0.0,37389.84
OI0000361,O009265,P0189,2,15,96732.44,14509.87,82222.57
OI0000362,O004586,P0274,1,0,23348.52,0.0,23348.52
OI0000363,O003813,P0178,3,0,49737.6,0.0,49737.6
OI0000364,O000873,P0093,4,5,53170.52,2658.53,50511.99
OI0000365,O008491,P0091,2,5,74001.6,3700.08,70301.52
OI0000366,O002607,P0245,1,10,39663.34,3966.33,35697.01
OI0000367,O005819,P0001,1,10,27929.85,2792.98,25136.87
OI0000368,O003269,P0035,3,15,95352.93,14302.94,81049.99
OI0000369,O003985,P0261,1,0,48547.54,0.0,48547.54
OI0000370,O007187,P0116,3,20,140846.22,28169.24,112676.98
OI0000371,O006062,P0262,1,20,47383.37,9476.67,37906.7
OI0000372,O007541,P0060,1,0,3798.13,0.0,3798.13
OI0000373,O005274,P0100,2,10,77338.78,7733.88,69604.9
OI0000374,O008386,P0133,1,10,14450.81,1445.08,13005.73
OI0000375,O002652,P0236,1,25,1113.12,278.28,834.84
OI0000376,O002436,P0160,1,25,12898.18,3224.54,9673.64
OI0000377,O005526,P0255,4,0,49144.84,0.0,49144.84
OI0000378,O000368,P0237,3,25,47176.59,11794.15,35382.44
OI0000379,O002610,P0095,4,0,99949.12,0.0,99949.12
OI0000380,O007616,P0040,2,10,34854.58,3485.46,31369.12
OI0000381,O007123,P0237,2,5,31451.06,1572.55,29878.51
OI0000382,O007946,P0236,4,5,4452.48,222.62,4229.86
OI0000383,O001890,P0298,1,10,46530.49,4653.05,41877.44
OI0000384,O008720,P0074,2,10,33986.88,3398.69,30588.19
OI0000385,O002148,P0223,1,0,7085.12,0.0,7085.12
OI0000386,O005559,P0029,3,25,12291.21,3072.8,9218.41
OI0000387,O008470,P0023,1,0,3921.35,0.0,3921.35
OI0000388,O001402,P0004,4,5,93160.24,4658.01,88502.23
OI0000389,O000329,P0244,1,20,34459.55,6891.91,27567.64
OI0000390,O001024,P0034,1,20,22153.58,4430.72,17722.86
OI0000391,O008956,P0105,1,15,40727.69,6109.15,34618.54
OI0000392,O000033,P0166,3,5,33359.73,1667.99,31691.74
OI0000393,O003169,P0027,2,15,98890.02,14833.5,84056.52
OI0000394,O000386,P0083,1,15,47199.69,7079.95,40119.74
OI0000395,O006757,P0159,2,10,56198.04,5619.8,50578.24
OI0000396,O003389,P0155,1,15,47257.38,7088.61,40168.77
OI0000397,O006465,P0171,2,10,39038.04,3903.8,35134.24
OI0000398,O004182,P0096,3,0,51858.45,0.0,51858.45
OI0000399,O002590,P0241,2,5,85246.04,4262.3,80983.74
OI0000400,O009280,P0293,2,15,51595.46,7739.32,43856.14
OI0000401,O008272,P0121,3,0,58811.82,0.0,58811.82
OI0000402,O000394,P0195,2,10,23399.78,2339.98,21059.8
OI0000403,O000667,P0231,1,10,23587.78,2358.78,21229.0
OI0000404,O002926,P0134,4,15,40420.24,6063.04,34357.2
OI0000405,O007979,P0059,1,5,41671.4,2083.57,39587.83
OI0000406,O002259,P0131,3,10,16392.24,1639.22,14753.02
OI0000407,O007539,P0027,3,10,148335.03,14833.5,133501.53
OI0000408,O007267,P0245,3,20,118990.02,23798.0,95192.02
OI0000409,O002315,P0130,1,10,34827.64,3482.76,31344.88
OI0000410,O009268,P0232,4,5,156756.48,7837.82,148918.66
OI0000411,O007290,P0172,2,10,16325.36,1632.54,14692.82
OI0000412,O000032,P0076,4,0,148766.04,0.0,148766.04
OI0000413,O001021,P0055,3,10,16570.83,1657.08,14913.75
OI0000414,O009552,P0239,4,25,2657.52,664.38,1993.14
OI0000415,O004564,P0121,4,10,78415.76,7841.58,70574.18
OI0000416,O000292,P0192,1,5,42357.23,2117.86,40239.37
OI0000417,O007599,P0010,4,5,106832.2,5341.61,101490.59
OI0000418,O008792,P0291,2,25,1888.14,472.04,1416.1
OI0000419,O000171,P0134,1,20,10105.06,2021.01,8084.05
OI0000420,O006512,P0089,2,20,51215.2,10243.04,40972.16
OI0000421,O003893,P0255,4,10,49144.84,4914.48,44230.36
OI0000422,O007301,P0182,3,5,123085.29,6154.26,116931.03
OI0000423,O009299,P0222,3,0,110545.74,0.0,110545.74
OI0000424,O002931,P0207,1,25,17750.15,4437.54,13312.61
OI0000425,O002940,P0082,2,0,13738.54,0.0,13738.54
